,EREGL,EREGL,EREGL,HEKTS,HEKTS,HEKTS,THYAO,THYAO,THYAO,TUPRS,TUPRS,TUPRS
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2000-05-10 00:00:00+00:00,0.5111110210418701,0.5111110210418701,32445915,0.0449579991400241,0.044208001345396,6953122,0.0018700000364333,0.0018380000256001,212630653,1.6204689741134644,1.6204689741134644,12101407
2000-05-11 00:00:00+00:00,0.4956229925155639,0.4956229925155639,12785752,0.0427099987864494,0.0419609993696212,5264933,0.001806000014767,0.0017750000115484,211439905,1.5351810455322266,1.5351810455322266,6219940
2000-05-12 00:00:00+00:00,0.503367006778717,0.503367006778717,10428203,0.0464560016989707,0.0449579991400241,73869398,0.001806000014767,0.001806000014767,123850733,1.577824950218201,1.577824950218201,5717899
2000-05-15 00:00:00+00:00,0.4956229925155639,0.4956229925155639,9185067,0.0434589982032775,0.0419609993696212,10929367,0.0017750000115484,0.0017109999898821,145015837,1.5138590335845947,1.5138590335845947,3043822
2000-05-16 00:00:00+00:00,0.4878779947757721,0.4878779947757721,13952177,0.0412110015749931,0.0404619984328746,11459707,0.0017430000007152,0.0017430000007152,150023501,1.5138590335845947,1.5138590335845947,4061565
2000-05-17 00:00:00+00:00,0.4723899960517883,0.4723899960517883,29086154,0.0404619984328746,0.0382140018045902,8567751,0.0017430000007152,0.0016799999866634,209153167,1.492537021636963,1.492537021636963,15866672
2000-05-18 00:00:00+00:00,0.4646460115909576,0.4646460115909576,16025405,0.0382140018045902,0.0367150008678436,6258174,0.0016799999866634,0.0016479999758303,80800058,1.4285709857940674,1.4285709857940674,17416385
2000-05-19 00:00:00+00:00,0.4646460115909576,0.4646460115909576,0,0.0367150008678436,0.0367150008678436,0,0.0016479999758303,0.0016479999758303,0,1.4285709857940674,1.4285709857940674,0
2000-05-22 00:00:00+00:00,0.4491580128669739,0.4491580128669739,8457808,0.0363410003483295,0.0363410003483295,16974868,0.0016159999649971,0.0015849999617785,80468877,1.3859269618988037,1.3859269618988037,7989461
2000-05-23 00:00:00+00:00,0.4491580128669739,0.4491580128669739,8457808,0.0363410003483295,0.0363410003483295,16974868,0.0016159999649971,0.0015849999617785,80468877,1.3859269618988037,1.3859269618988037,7989461
2000-05-24 00:00:00+00:00,0.4491580128669739,0.4491580128669739,0,0.0363410003483295,0.0363410003483295,0,0.0015849999617785,0.0015849999617785,0,1.3859269618988037,1.3859269618988037,0
2000-05-25 00:00:00+00:00,0.4491580128669739,0.4491580128669739,0,0.0363410003483295,0.0363410003483295,0,0.0015849999617785,0.0015849999617785,0,1.3859269618988037,1.3859269618988037,0
2000-05-26 00:00:00+00:00,0.4414139986038208,0.4414139986038208,5702921,0.0292220003902912,0.0280980002135038,4023615,0.0016159999649971,0.0016159999649971,76510132,1.4285709857940674,1.4285709857940674,4538258
2000-05-29 00:00:00+00:00,0.4414139986038208,0.4414139986038208,0,0.0280980002135038,0.0280980002135038,0,0.0016159999649971,0.0016159999649971,0,1.4285709857940674,1.4285709857940674,0
2000-05-30 00:00:00+00:00,0.4414139986038208,0.4414139986038208,0,0.0280980002135038,0.0280980002135038,0,0.0016159999649971,0.0016159999649971,0,1.4285709857940674,1.4285709857940674,0
2000-05-31 00:00:00+00:00,0.4414139986038208,0.4414139986038208,0,0.0280980002135038,0.0280980002135038,0,0.0016159999649971,0.0016159999649971,0,1.4285709857940674,1.4285709857940674,0
2000-06-01 00:00:00+00:00,0.4414139986038208,0.4414139986038208,0,0.0280980002135038,0.0280980002135038,0,0.0016159999649971,0.0016159999649971,0,1.4285709857940674,1.4285709857940674,0
2000-06-02 00:00:00+00:00,0.4336700141429901,0.4336700141429901,57636736,0.0299720000475645,0.0273490007966756,93688395,0.0016799999866634,0.0015529999509453,1285884936,1.3859269618988037,1.3859269618988037,15070116
2000-06-05 00:00:00+00:00,0.4336700141429901,0.4336700141429901,0,0.0273490007966756,0.0273490007966756,0,0.0015529999509453,0.0015529999509453,0,1.3859269618988037,1.3859269618988037,0
2000-06-06 00:00:00+00:00,0.4336700141429901,0.4336700141429901,21698812,0.0284729991108179,0.0277239996939897,4356223,0.0016479999758303,0.0015849999617785,315235931,1.4072489738464355,1.4072489738464355,9474554
2000-06-07 00:00:00+00:00,0.4336700141429901,0.4336700141429901,0,0.0277239996939897,0.0277239996939897,0,0.0015849999617785,0.0015849999617785,0,1.4072489738464355,1.4072489738464355,0
2000-06-08 00:00:00+00:00,0.4336700141429901,0.4336700141429901,0,0.0277239996939897,0.0277239996939897,0,0.0015849999617785,0.0015849999617785,0,1.4072489738464355,1.4072489738464355,0
2000-06-09 00:00:00+00:00,0.4723899960517883,0.4723899960517883,29929538,0.0288479998707771,0.0284729991108179,9780217,0.0017750000115484,0.0017430000007152,1146202769,1.492537021636963,1.492537021636963,10122395
2000-06-12 00:00:00+00:00,0.4723899960517883,0.4723899960517883,8659693,0.0280980002135038,0.0277239996939897,3789291,0.0017109999898821,0.0016479999758303,154038403,1.4498929977416992,1.4498929977416992,1882308
2000-06-13 00:00:00+00:00,0.4491580128669739,0.4491580128669739,28170478,0.0280980002135038,0.0277239996939897,16813725,0.0016159999649971,0.0016159999649971,174194074,1.3859269618988037,1.3859269618988037,8582644
2000-06-14 00:00:00+00:00,0.4414139986038208,0.4414139986038208,74961195,0.0292220003902912,0.0277239996939897,118247459,0.0016479999758303,0.0015849999617785,455022824,1.3859269618988037,1.3859269618988037,17962893
