,ALARK,ALARK,ALARK,SAHOL,SAHOL,SAHOL,SASA,SASA,SASA,TOASO,TOASO,TOASO
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2000-05-10 00:00:00+00:00,1.8497270345687864,1.8497270345687864,1435166,2.806346893310547,2.806346893310547,3787846,0.0098460000008344,0.0098460000008344,54115230,1.465590000152588,1.465590000152588,1464154048
2000-05-11 00:00:00+00:00,1.7820539474487305,1.7820539474487305,762792,2.6829910278320312,2.6829910278320312,2628624,0.0097420001402497,0.0097420001402497,7412351,1.3974230289459229,1.3974230289459229,530559149
2000-05-12 00:00:00+00:00,1.8271700143814087,1.8271700143814087,501577,2.775507926940918,2.775507926940918,1785419,0.0097420001402497,0.0097420001402497,8066027,1.465590000152588,1.465590000152588,4172480066
2000-05-15 00:00:00+00:00,1.759497046470642,1.759497046470642,493876,2.71382999420166,2.71382999420166,1013272,0.0093280002474784,0.0093280002474784,6474048,1.4315069913864136,1.4315069913864136,7044328570
2000-05-16 00:00:00+00:00,1.8046120405197144,1.8046120405197144,1206764,2.71382999420166,2.71382999420166,1660232,0.0091199995949864,0.0091199995949864,11705870,1.4315069913864136,1.4315069913864136,2731223832
2000-05-17 00:00:00+00:00,1.7369389533996582,1.7369389533996582,776144,2.621313095092773,2.621313095092773,3101696,0.0090169999748468,0.0090169999748468,24596077,1.4315069913864136,1.4315069913864136,5153509048
2000-05-18 00:00:00+00:00,1.691823959350586,1.691823959350586,866424,2.5596349239349365,2.5596349239349365,2819692,0.0088090002536773,0.0088090002536773,13476344,1.3633400201797483,1.3633400201797483,2533456378
2000-05-19 00:00:00+00:00,1.691823959350586,1.691823959350586,0,2.5596349239349365,2.5596349239349365,0,0.0088090002536773,0.0088090002536773,0,1.3633400201797483,1.3633400201797483,0
2000-05-22 00:00:00+00:00,1.6467089653015137,1.6467089653015137,466893,2.46711802482605,2.46711802482605,2254395,0.0086019998416304,0.0086019998416304,4172915,1.3088059425354004,1.3088059425354004,4920224787
2000-05-23 00:00:00+00:00,1.6467089653015137,1.6467089653015137,466893,2.46711802482605,2.46711802482605,2254395,0.0086019998416304,0.0086019998416304,4172915,1.3088059425354004,1.3088059425354004,4920224787
2000-05-24 00:00:00+00:00,1.6467089653015137,1.6467089653015137,0,2.46711802482605,2.46711802482605,0,0.0086019998416304,0.0086019998416304,0,1.3088059425354004,1.3088059425354004,0
2000-05-25 00:00:00+00:00,1.6467089653015137,1.6467089653015137,0,2.46711802482605,2.46711802482605,0,0.0086019998416304,0.0086019998416304,0,1.3088059425354004,1.3088059425354004,0
2000-05-26 00:00:00+00:00,1.6692659854888916,1.6692659854888916,801435,2.436279058456421,2.436279058456421,4212894,0.0091199995949864,0.0091199995949864,4684278,1.3497060537338257,1.3497060537338257,4616555955
2000-05-29 00:00:00+00:00,1.6692659854888916,1.6692659854888916,0,2.436279058456421,2.436279058456421,0,0.0091199995949864,0.0091199995949864,0,1.3497060537338257,1.3497060537338257,0
2000-05-30 00:00:00+00:00,1.6692659854888916,1.6692659854888916,0,2.436279058456421,2.436279058456421,0,0.0091199995949864,0.0091199995949864,0,1.3497060537338257,1.3497060537338257,0
2000-05-31 00:00:00+00:00,1.6692659854888916,1.6692659854888916,0,2.436279058456421,2.436279058456421,0,0.0091199995949864,0.0091199995949864,0,1.3497060537338257,1.3497060537338257,0
2000-06-01 00:00:00+00:00,1.6692659854888916,1.6692659854888916,0,2.436279058456421,2.436279058456421,0,0.0091199995949864,0.0091199995949864,0,1.3497060537338257,1.3497060537338257,0
2000-06-02 00:00:00+00:00,1.6467089653015137,1.6467089653015137,2116775,2.405440092086792,2.405440092086792,12148866,0.0087059997022151,0.0087059997022151,26426853,1.3633400201797483,1.3633400201797483,7206855896
2000-06-05 00:00:00+00:00,1.6467089653015137,1.6467089653015137,0,2.405440092086792,2.405440092086792,0,0.0087059997022151,0.0087059997022151,0,1.3633400201797483,1.3633400201797483,0
2000-06-06 00:00:00+00:00,1.6467089653015137,1.6467089653015137,429654,2.46711802482605,2.46711802482605,4169329,0.0086019998416304,0.0086019998416304,18260483,1.376973032951355,1.376973032951355,4532691279
2000-06-07 00:00:00+00:00,1.6467089653015137,1.6467089653015137,0,2.46711802482605,2.46711802482605,0,0.0086019998416304,0.0086019998416304,0,1.376973032951355,1.376973032951355,0
2000-06-08 00:00:00+00:00,1.6467089653015137,1.6467089653015137,0,2.46711802482605,2.46711802482605,0,0.0086019998416304,0.0086019998416304,0,1.376973032951355,1.376973032951355,0
2000-06-09 00:00:00+00:00,1.6467089653015137,1.6467089653015137,1687485,2.528795957565308,2.528795957565308,5959634,0.0088090002536773,0.0088090002536773,20321855,1.465590000152588,1.465590000152588,2146344989
2000-06-12 00:00:00+00:00,1.6467089653015137,1.6467089653015137,33403,2.436279058456421,2.436279058456421,2175520,0.0086019998416304,0.0086019998416304,4662569,1.3974230289459229,1.3974230289459229,753027379
2000-06-13 00:00:00+00:00,1.579035997390747,1.579035997390747,241115,2.312922954559326,2.312922954559326,4624630,0.0082909995689988,0.0082909995689988,5851729,1.3974230289459229,1.3974230289459229,2907503538
2000-06-14 00:00:00+00:00,1.5564780235290527,1.5564780235290527,687704,2.405440092086792,2.405440092086792,12973887,0.0082909995689988,0.0082909995689988,20543767,1.4315069913864136,1.4315069913864136,6467815547
2000-06-15 00:00:00+00:00,1.4662469625473022,1.4662469625473022,1411959,2.343761920928955,2.343761920928955,3882994,0.0079800002276897,0.0079800002276897,6732142,1.465590000152588,1.465590000152588,10131833173
