,ARCLK,ARCLK,ARCLK,KCHOL,KCHOL,KCHOL,OYAKC,OYAKC,OYAKC,PETKM,PETKM,PETKM
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2000-05-10 00:00:00+00:00,6.705690860748291,6.56910514831543,667353,81.25470733642578,81.25470733642578,77533,13.63636302947998,13.223139762878418,14889,0.7931950092315674,0.7931950092315674,1315604
2000-05-11 00:00:00+00:00,6.56910514831543,6.504065036773682,162067,81.25470733642578,81.25470733642578,40089,12.809917449951172,12.809917449951172,5095,0.7601450085639954,0.7601450085639954,1088073
2000-05-12 00:00:00+00:00,6.77723503112793,6.56910514831543,164918,83.0211181640625,83.0211181640625,34805,13.223139762878418,13.016528129577637,6079,0.7821789979934692,0.7821789979934692,1448415
2000-05-15 00:00:00+00:00,6.56910514831543,6.439023971557617,64381,79.4883041381836,79.4883041381836,3570,13.223139762878418,12.603304862976074,8143,0.7160789966583252,0.7160789966583252,1062288
2000-05-16 00:00:00+00:00,6.56910514831543,6.56910514831543,29377,77.72189331054688,77.72189331054688,51512,13.016528129577637,13.016528129577637,3092,0.7270960211753845,0.7270960211753845,1408789
2000-05-17 00:00:00+00:00,6.77723503112793,6.504065036773682,76412,75.95549011230469,75.95549011230469,39989,13.223139762878418,12.809917449951172,5769,0.7050619721412659,0.7050619721412659,1507360
2000-05-18 00:00:00+00:00,6.439023971557617,6.165853023529053,115965,72.42267608642578,72.42267608642578,60184,12.809917449951172,12.603304862976074,2593,0.6940460205078125,0.6940460205078125,965837
2000-05-19 00:00:00+00:00,6.439023971557617,6.165853023529053,0,72.42267608642578,72.42267608642578,0,12.603304862976074,12.603304862976074,0,0.6940460205078125,0.6940460205078125,0
2000-05-22 00:00:00+00:00,6.100812911987305,5.964227199554443,86787,67.83001708984375,67.83001708984375,134614,12.809917449951172,12.39669418334961,2952,0.6609960198402405,0.6609960198402405,1016194
2000-05-23 00:00:00+00:00,6.100812911987305,5.964227199554443,86787,67.83001708984375,67.83001708984375,134614,12.809917449951172,12.39669418334961,2952,0.6609960198402405,0.6609960198402405,1016194
2000-05-24 00:00:00+00:00,6.100812911987305,5.964227199554443,0,67.83001708984375,67.83001708984375,0,12.39669418334961,12.39669418334961,0,0.6609960198402405,0.6609960198402405,0
2000-05-25 00:00:00+00:00,6.100812911987305,5.964227199554443,0,67.83001708984375,67.83001708984375,0,12.39669418334961,12.39669418334961,0,0.6609960198402405,0.6609960198402405,0
2000-05-26 00:00:00+00:00,5.756096839904785,5.554471015930176,144193,72.42267608642578,72.42267608642578,6067,12.809917449951172,12.809917449951172,1747,0.638962984085083,0.638962984085083,1419062
2000-05-29 00:00:00+00:00,5.756096839904785,5.554471015930176,0,72.42267608642578,72.42267608642578,0,12.809917449951172,12.809917449951172,0,0.638962984085083,0.638962984085083,0
2000-05-30 00:00:00+00:00,5.756096839904785,5.554471015930176,0,72.42267608642578,72.42267608642578,0,12.809917449951172,12.809917449951172,0,0.638962984085083,0.638962984085083,0
2000-05-31 00:00:00+00:00,5.756096839904785,5.554471015930176,0,72.42267608642578,72.42267608642578,0,12.809917449951172,12.809917449951172,0,0.638962984085083,0.638962984085083,0
2000-06-01 00:00:00+00:00,5.756096839904785,5.554471015930176,0,72.42267608642578,72.42267608642578,0,12.809917449951172,12.809917449951172,0,0.638962984085083,0.638962984085083,0
2000-06-02 00:00:00+00:00,5.756096839904785,5.417885780334473,209349,6.145349979400635,6.145349979400635,622430,0.8719509840011597,0.8356189727783203,108734,0.638962984085083,0.638962984085083,3664830
2000-06-05 00:00:00+00:00,5.756096839904785,5.417885780334473,0,6.145349979400635,6.145349979400635,0,0.8356189727783203,0.8356189727783203,0,0.638962984085083,0.638962984085083,0
2000-06-06 00:00:00+00:00,5.756096839904785,5.756096839904785,198539,6.268257141113281,6.268257141113281,1045780,0.8356189727783203,0.8174539804458618,278243,0.638962984085083,0.638962984085083,1313429
2000-06-07 00:00:00+00:00,5.756096839904785,5.756096839904785,0,6.268257141113281,6.268257141113281,0,0.8174539804458618,0.8174539804458618,0,0.638962984085083,0.638962984085083,0
2000-06-08 00:00:00+00:00,5.756096839904785,5.756096839904785,0,6.268257141113281,6.268257141113281,0,0.8174539804458618,0.8174539804458618,0,0.638962984085083,0.638962984085083,0
2000-06-09 00:00:00+00:00,4.403252124786377,4.403252124786377,194643,6.3911638259887695,6.3911638259887695,312732,0.8447020053863525,0.8356189727783203,93583,0.7050619721412659,0.7050619721412659,5163863
2000-06-12 00:00:00+00:00,4.266665935516357,4.201625823974609,36353,6.268257141113281,6.268257141113281,23611,0.826537013053894,0.8083710074424744,46383,0.6720119714736938,0.6720119714736938,577190
2000-06-13 00:00:00+00:00,4.3382110595703125,4.266665935516357,175162,5.960989952087402,5.960989952087402,455604,0.7992879748344421,0.7902050018310547,30668,0.638962984085083,0.638962984085083,1606374
2000-06-14 00:00:00+00:00,4.403252124786377,4.266665935516357,495079,6.022442817687988,6.022442817687988,1198890,0.7992879748344421,0.7902050018310547,93826,0.6279460191726685,0.6279460191726685,4385857
