,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2000-05-10 00:00:00+00:00,6.137478828430176,6.137478828430176,1284067,9.40910816192627,9.40910816192627,44552,3.700000047683716,3.700000047683716,642080000,0.3228920102119446,0.3157159984111786,11132655
2000-05-11 00:00:00+00:00,6.137478828430176,6.137478828430176,608846,9.173879623413086,9.173879623413086,20159,3.5999999046325684,3.5999999046325684,311950000,0.3157159984111786,0.3085409998893738,1624482
2000-05-12 00:00:00+00:00,6.273867130279541,6.273867130279541,2283592,9.056265830993652,9.056265830993652,24227,3.650000095367432,3.650000095367432,639990100,0.3157159984111786,0.3085409998893738,1892196
2000-05-15 00:00:00+00:00,6.137478828430176,6.137478828430176,122956,8.821038246154785,8.821038246154785,27102,3.549999952316284,3.549999952316284,177882200,0.3085409998893738,0.3013660013675689,2078540
2000-05-16 00:00:00+00:00,6.001091003417969,6.001091003417969,1331524,8.703424453735352,8.703424453735352,44044,3.5,3.5,461490000,0.304953008890152,0.2977780103683471,3433227
2000-05-17 00:00:00+00:00,6.001091003417969,6.001091003417969,1062260,8.585810661315918,8.585810661315918,36718,3.450000047683716,3.450000047683716,321614320,0.304953008890152,0.294189989566803,4419008
2000-05-18 00:00:00+00:00,5.591925144195557,5.591925144195557,1716238,8.585810661315918,8.585810661315918,145935,3.400000095367432,3.400000095367432,190260000,0.2977780103683471,0.2906019985675812,7641274
2000-05-19 00:00:00+00:00,5.591925144195557,5.591925144195557,0,8.585810661315918,8.585810661315918,0,3.400000095367432,3.400000095367432,0,0.2906019985675812,0.2906019985675812,0
2000-05-22 00:00:00+00:00,5.346426010131836,5.346426010131836,1728168,8.232969284057617,8.232969284057617,23305,3.299999952316284,3.299999952316284,220730000,0.294189989566803,0.2726640105247497,2994890
2000-05-23 00:00:00+00:00,5.346426010131836,5.346426010131836,1728168,8.232969284057617,8.232969284057617,23305,3.299999952316284,3.299999952316284,220730000,0.294189989566803,0.2726640105247497,2994890
2000-05-24 00:00:00+00:00,5.346426010131836,5.346426010131836,0,8.232969284057617,8.232969284057617,0,3.299999952316284,3.299999952316284,0,0.2726640105247497,0.2726640105247497,0
2000-05-25 00:00:00+00:00,5.346426010131836,5.346426010131836,0,8.232969284057617,8.232969284057617,0,3.299999952316284,3.299999952316284,0,0.2726640105247497,0.2726640105247497,0
2000-05-26 00:00:00+00:00,5.455536842346191,5.455536842346191,350317,8.35058307647705,8.35058307647705,38269,3.3499999046325684,3.3499999046325684,298543700,0.2762520015239715,0.2726640105247497,1508017
2000-05-29 00:00:00+00:00,5.455536842346191,5.455536842346191,0,8.35058307647705,8.35058307647705,0,3.3499999046325684,3.3499999046325684,0,0.2726640105247497,0.2726640105247497,0
2000-05-30 00:00:00+00:00,5.455536842346191,5.455536842346191,0,8.35058307647705,8.35058307647705,0,3.3499999046325684,3.3499999046325684,0,0.2726640105247497,0.2726640105247497,0
2000-05-31 00:00:00+00:00,5.455536842346191,5.455536842346191,0,8.35058307647705,8.35058307647705,0,3.3499999046325684,3.3499999046325684,0,0.2726640105247497,0.2726640105247497,0
2000-06-01 00:00:00+00:00,5.455536842346191,5.455536842346191,0,8.35058307647705,8.35058307647705,0,3.3499999046325684,3.3499999046325684,0,0.2726640105247497,0.2726640105247497,0
2000-06-02 00:00:00+00:00,5.2373151779174805,5.2373151779174805,5913922,0.151650995016098,0.151650995016098,31763525,3.299999952316284,3.299999952316284,938530000,0.2834270000457763,0.2690759897232055,7885088
2000-06-05 00:00:00+00:00,5.2373151779174805,5.2373151779174805,0,0.151650995016098,0.151650995016098,0,3.299999952316284,3.299999952316284,0,0.2690759897232055,0.2690759897232055,0
2000-06-06 00:00:00+00:00,5.591925144195557,5.591925144195557,1364672,0.1535950005054474,0.1535950005054474,7690411,3.450000047683716,3.450000047683716,267655000,0.2762520015239715,0.2690759897232055,2301404
2000-06-07 00:00:00+00:00,5.591925144195557,5.591925144195557,0,0.1535950005054474,0.1535950005054474,0,3.450000047683716,3.450000047683716,0,0.2690759897232055,0.2690759897232055,0
2000-06-08 00:00:00+00:00,5.591925144195557,5.591925144195557,0,0.1535950005054474,0.1535950005054474,0,3.450000047683716,3.450000047683716,0,0.2690759897232055,0.2690759897232055,0
2000-06-09 00:00:00+00:00,0.6200609803199768,0.6200609803199768,15857850,0.1555400043725967,0.1555400043725967,5016649,3.650000095367432,3.650000095367432,578590000,0.2762520015239715,0.2726640105247497,2996464
2000-06-12 00:00:00+00:00,0.6083620190620422,0.6083620190620422,12094377,0.1497070044279098,0.1497070044279098,653465,3.5,3.5,102950000,0.2762520015239715,0.2726640105247497,1995650
2000-06-13 00:00:00+00:00,0.5674139857292175,0.5674139857292175,28056788,0.1458179950714111,0.1458179950714111,6451810,3.3499999046325684,3.3499999046325684,689840000,0.2654890120029449,0.2583130002021789,5035722
2000-06-14 00:00:00+00:00,0.5674139857292175,0.5674139857292175,77870598,0.1458179950714111,0.1458179950714111,17587174,3.400000095367432,3.400000095367432,1792530000,0.2654890120029449,0.2583130002021789,12806484
2000-06-15 00:00:00+00:00,0.5498650074005127,0.5498650074005127,21964385,0.138041004538536,0.138041004538536,3449674,3.3499999046325684,3.3499999046325684,817910000,0.2583130002021789,0.2475499957799911,4559265
