symbol
AKBNK
ALARK
ARCLK
ASELS
EREGL
FROTO
GARAN
GUBRF
HEKTS
KCHOL
KRDMD
OYAKC
PETKM
SAHOL
SASA
SISE
THYAO
TOASO
TUPRS
YKBNK
